Muestra,Localidad,Utilidad,Donado,Id,Tipo,URL
Cinabro,"Toreo, Guerrero","Fuente importante de mercurio, tambien se utiliza en instrumental cientifica",,54,,image187.png
Cobre ,"Panuco, Coahuila",,,55,,image188.png
Cobre Nativo,"Nacozari, Sonora, Mexico",,ing. Fernando Rodriguez,55,Nativo,image189.png
Cobre Nativo,Mina de los Azules,,,55,Nativo,image190.png
Cobre Nativo,"Cananea, Sonora",Aleaciones,,55,Nativo,image191.png
Cobre Nativo,"La encantada, Coahuila",Aleaciones,,55,Nativo,image192.png
Cobre Nativo,,Material Electrico,,55,Nativo,image193.png
Cobre Nativo,Mina los Azules,,,55,Nativo,image194.png
Cobre Nativo Cu,"Concepcion del oro, Zac.",,,55,Nativo,image195.png
Conglomerado,"Zacualpan, Edo. de Mexico ",,,56,,image196.png
Conglomerado,"Telaluca, Puebla",,,56,,image197.png
Criolita,"Lluvianos, Edo. de México",Proviene de su facilidad de disolver el óxido de aluminio,,57,,image198.png
Crisocola,Zacatecas,,,58,Silicatos,image199.png
Crisola y Nativo Cobre,"Tepezala, Aguascalientes",,,59,,image200.png
Crisotila,Teotitlan de flores magon ,,,60,,image201.png
Cristales de Calcita pertenecientes a Vetilla de Calcita,"San José del Progreso, Oaxaca",,,61,,image202.png
Cromita,"El Tigre, B.C.S.",Mena de fierro,,62,,image203.png
Cromita,"Charcas, S.L.P.",Mena de Fierro,,62,,image204.png
Cromita,"Petetlán, Guerrero",Fabricación de ladrillos,,62,,image205.png
Cuarcita,,,,63,,image206.png
Cuarzo,"Taxco, Guerrero",,ing. Fernando Rodriguez,64,Silicatos,image207.png
Cuarzo,,Ornamental e Industrial,,64,Silicatos,image208.png
Cuarzo,,Ornamental e Industrial,,64,Silicatos,image209.png
Cuarzo,"Zimapan, Hidalgo",Fabricacion de vidrio,,64,Silicatos,image210.png
Cuarzo,,Ornamental e Industrial,,64,Silicatos,image211.png
Cuarzo,Hidalgo,"Abrasivo, Termoluminicencia",,64,Silicatos,image212.png
Cuarzo,,,,64,Silicatos,image213.png
Cuarzo,,,,64,Silicatos,image214.png
Cuarzo,,,,64,Silicatos,image215.png
Cuarzo,Edo. De México,Ornamentos,,64,Silicatos,image216.png
Cuarzo,,"Gemas, ornamentos",,64,Silicatos,image217.png
Cuarzo ,Guanajuato,,,64,Silicatos,image218.png
"Cuarzo ""Alcachofa""","Taxo, Guerrero",,ing. Fernando Rodriguez,64,Silicatos,image219.png
Cuarzo Ahumado,,,,64,Silicatos,image220.png
Cuarzo Amatista ,,,,64,Silicatos,image221.png
Cuarzo amatista con inclusión de rotulo,Brasil ,Ornamental,Ing. Julio Eduardo Morales de la Garza,64,Silicatos,image222.png
Cuarzo blanco con amatista ,"Taxco, Guerrero",,ing. Fernando Rodriguez,64,Silicatos,image223.png
Cuarzo botroidal en capas de pirita,,,,64,Silicatos,image224.png
Cuarzo Calcita,"Taxco, Guerrero",,ing. Fernando Rodriguez,64,Silicatos,image225.png
Cuarzo Citrino,Uruguay,Ornamental,Ing. Julio Eduardo Morales de la Garza,64,Silicatos,image226.png
Cuarzo citrino,"Zacatecas, Zacatecas",Joyeria,,64,Silicatos,image227.png
Cuarzo de Magnetita,,,,64,Silicatos,image228.png
Cuarzo Lechozo,"Coyuca de Benitez, Guerrero","Ornamentación, (tipo de cuarzo más común",,64,Silicatos,image229.png
Cuarzo Rutilado,Brasil,Ornamental,Ing. Julio Eduardo Morales de la Garza,64,Silicatos,image230.png
Cuarzo y Esquisto de Muscorita,"Magdalena, Sonora",,,64,Silicatos,image231.png
Cuarzo y Galena,Topia Durango,,,64,Silicatos,image232.png
"Cuarzo, Galena, Pirita","Fresnillo, Zacatecas",,,64,Silicatos,image233.png
"Cuarzo, Pirita","Agangeo, Michoacan",Obtencion del acido sulfurico,,64,Silicatos,image234.png
Cuarzo-Azufre-Galena,"Huitzuco, Gro.","Polvora, laxantes, fósforos",,64,Silicatos,image235.png
Cuarzos amatistas,"Las minas, Tatatila, Veracruz",,ing. Fernando Rodriguez,64,Silicatos,image236.png
Cuprita,"Mina de Sto. niño, chihuahua",,,65,,image237.png
"Cuprita, Calcopirita","Sierra de los Custapeque, Chiapas",,,65,,image238.png
"Cuprita, Calcopirita",Sonora,Mena de Cobre,,65,,image239.png
"Cuprita, Malaquita",,"Mena de Cobre, piedra semi-preciosa",,65,,image240.png
Damburita,,,,66,,image241.png
Danburita,San Luis Potosi,"Ornamental, Piedra Fina",,66,,image242.png
Danburita,"Charcas, SLP",,,66,,image243.png
Diorita ,,,,67,Silicatos,image244.png
Diorita de horunblenda,Arteaga Chiapas,,,67,Silicatos,image245.png
Dolomia con galena,"Chipehua, Oaxaca",Fuente de maganesio y joyeria,,68,Carbonatos,image246.png
Dolomia con galena,"Chipehua, Oaxaca ",Fuente de manganeso y joyeria,,68,Carbonatos,image247.png
Dolomita,"Taxco, Guerrero",,ing. Fernando Rodriguez,69,Carbonatos,image248.png
Dolomita y Calcita,"Mina de GTO, Guanajuato",,,69,Carbonatos,image249.png
"Dolomita, Calcita","Mina Peregrina, Guanajuato",,,69,Carbonatos,image250.png
"Dolomita, Hemimorfita","Mapimi, Durango",Fuente de Mg. Mena secundaria de Zn.,,69,Carbonatos,image251.png
Epidotita,Volcan de Colima,,,70,Silicatos,image252.png
Epsomita (Sulfatoss),,,,71,,image253.png
Escoria Volcanica,"Paricutin, Michoacan",,,72,,image254.png
Esfalerita,"Santa Eulalia, Chihuahua",,,73,Silicatos,image255.png
Esfalerita,,Mena de Zinc,,73,Silicatos,image256.png
Esfalerita,Municipio de Guadalupe Victoria,,,73,Silicatos,image257.png
Esfalerita,Municipio de Guadalupe Victoria,Mena de Zinc,,73,Silicatos,image258.png
Esfalerita,"Cananea, Sonora",Mena de Zinc,,73,Silicatos,image259.png
Esfalerita,"Plomosas, Chihuahua",Mena de Zinc,,73,Silicatos,image260.png
Esfalerita,Durango,Mena de Zinc,,73,Silicatos,image261.png
Esfalerita,"San Antonio, Chihuahua",Mena de Zinc,,73,Silicatos,image262.png
Esfalerita ,"Plomosas, Chihuahua",Mena de Zinc,,73,Silicatos,image263.png
Esfalerita Pirita,,,,73,Silicatos,image264.png
Esfalerita Pirita,,,,73,Silicatos,image265.png
Especularita,"Arteaga, Mich.",Mena de Fierro,,74,,image266.png
Especularita,"La Huerta, Jalisco",,,74,,image267.png
Estalactita,,,,75,,image268.png
Estebinita,"Tzitzio, Michoacán",Mena de Antimonio,,76,Sulfuros,image269.png
Estebinita,"Pinal de Amoles, Queretaro",Mena de Antimonio,,76,Sulfuros,image270.png
